UserId,Total_reviews,Followers
13810708,10,0
8959785,74,93
13046801,1,0
436876,399,205
8577969,1,1
11592944,1,0
11703704,3,1
9850631,126,1
11630665,1,0
16201947,2,0
12106044,1,0
8219235,4,4
825060,18,53
1515576,56,217
942469,16,98
13881346,4,0
8370341,49,13
951230,249,222
8901219,3,297
724339,110,280
480415,1,5
8137913,62,109
8679734,1,0
9921326,11,0
11317487,35,2
837395,249,154
1613605,28,515
10939795,55,5
716312,1,0
552508,1,0
1833629,9,46
23530418,1,0
9464907,1,3
83072,143,37
288449,333,124
1673108,270,190
2066172,7,340
8755271,36,0
414516,35,179
41612,209,156
9698995,1,0
611421,63,50
2195596,3,0
932961,269,90
14352057,1,0
440392,2,82
8866455,10,10
1383563,157,642
874695,124,201
615806,28,16
14723217,1,0
9478200,9,0
11006499,1,0
20263132,1,0
20263150,1,0
896184,3,189
8877956,3,43
2157000,3,23
752592,549,315
1680461,1,26
539661,7,82
2031346,1,6
8552598,31,24
14130487,1,0
9448707,35,5
120830,41,52
1524593,4,0
1132194,81,136
14953018,1,0
9834922,2,0
8387095,1,3
9913291,3,0
746664,1,11
8390375,2,0
617256,20,8
13042377,22,1
9564350,8,0
12362600,1,0
1916088,12,59
924686,20,77
8242326,5,9
606905,1,0
19128725,13,0
19129019,13,0
21150167,1,0
817798,71,97
12575049,11,0
10117030,1,0
183370,6,24
455738,257,30
9731177,27,2
14388326,2,0
10192556,1,0
395633,4,6
1356604,26,4
9927,510,1417
10333415,4,0
8938684,1,29
23400135,1,0
8140311,111,39
10037057,39,1
12572223,1,0
2060911,4,0
1960841,2,46
9401501,1,0
15948919,1,0
11425507,12,0
9703293,1,0
1959153,4,20
515831,31,147
10925227,7,0
9759560,5,0
12439078,1,0
363114,2,84
15925016,1,0
20067788,1,0
20183110,1,0
20007600,4,0
17417950,1,0
20277886,1,0
17951083,2,0
10119203,2,0
500714,9,0
42543,1,0
10161027,14,1
12661052,1,0
17923532,1,0
1406834,205,224
1537442,27,106
1826386,7,48
8368413,3,10
8195919,70,239
244974,6,361
1909959,41,8
12114731,2,0
1564773,2,58
11313808,42,0
12297464,7,0
689890,1,16
1706537,97,34
2003134,5,37
903462,2,0
21570533,1,0
13073670,1,0
2090121,1,71
11111135,8,1
10814383,2,0
734060,6,11
12157801,6,0
15669486,4,0
17336052,1,0
17380528,2,0
15804905,2,0
17567159,3,0
17284340,2,0
10859531,2,0
13600327,1,0
23789761,1,0
9182761,77,0
13602199,1,0
12837557,7,0
19910753,1,0
9399061,2,4
8964366,2,22
10373928,1,0
12570392,1,0
12558961,2,0
9254002,1,16
12326465,5,0
15847897,4,0
10064660,10,0
11183451,12,1
15847984,1,0
15973994,2,0
12039760,8,1
378856,2,123
520723,115,104
753691,11,1
12747631,3,0
893356,5,22
12720768,1,0
19429351,1,0
1298786,27,4
13752897,1,0
12128537,2,0
10353225,3,4
1918949,11,0
10068288,12,1
1381347,140,223
18583058,2,0
1705900,5,18
1096480,17,6
370697,6,22
12445180,1,0
8792897,38,70
15748864,2,0
12803999,1,0
10481650,1,0
1419934,5,0
11720691,1,0
13566930,1,0
1838944,157,221
409988,18,2
9870470,3,0
9054615,1,1
1759605,2,39
9205591,26,4
12026944,1,0
17821027,9,0
9559488,39,1
11039200,12,0
12251514,3,0
13671090,1,0
9057989,1,8
11910264,10,1
22660507,1,0
9440890,1,0
553833,6,4
13516106,29,2
324669,361,322
13066268,24,0
551890,6,75
1620020,175,108
1786360,47,70
9606222,3,0
10148562,1,0
1366383,62,10
15420366,1,0
14294276,3,0
15373506,1,0
458363,5,10
1783611,37,201
8183089,7,34
12759078,1,0
10067769,8,1
13339751,1,0
8480402,4,1
541312,8,1
9295451,21,1
1703489,106,205
8571830,4,0
11551904,1,0
11616255,1,0
9415301,11,0
14133476,2,0
1877466,29,39
12264465,21,1
20159012,1,0
18264657,1,0
372656,450,252
1676098,1,10
12260513,3,0
17533802,1,0
284871,60,105
910285,9,1
96190,91,138
395412,175,16
13059660,3,0
1726428,15,1
188735,108,20
76866,125,70
192874,15,4
186098,492,286
1379585,16,22
23920994,1,0
20826106,1,0
1515960,1,22
13499716,8,0
14837157,1,0
15881178,1,0
15959626,1,0
17736972,4,0
1606346,1,3
8708543,1,3
23921069,1,0
23920113,1,0
18762268,1,0
9138543,5,1
23930357,1,0
9637371,101,6
247712,201,241
939076,27,63
1903846,29,6
2355,123,34
288224,59,34
15119243,1,0
819810,18,25
15862145,1,0
12178901,33,2
10501950,2,0
10064159,1,0
704678,754,587
17541774,1,0
13813012,1,0
12734764,4,0
8299115,3,174
10976956,2,0
1113370,7,72
